 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   1.7940  32.1935   0.4577   2.7659  0.52387E+03  0.52374E+03  0.12859E+00  0.53667E+03  0.32117E-05  0.92182E+01  0.52745E+03  0.10000E+01
    5.0140   1.7940  32.9266   0.4782   2.8898  0.43649E+03  0.43627E+03  0.22360E+00  0.44467E+03  0.11830E-05  0.76932E+01  0.43698E+03  0.10000E+01
    5.0140   1.7940  33.6454   0.4987   3.0137  0.36373E+03  0.36342E+03  0.31650E+00  0.36856E+03  0.43061E-06  0.64715E+01  0.36209E+03  0.10000E+01
    5.0140   1.7940  34.3509   0.5192   3.1375  0.30300E+03  0.30259E+03  0.40507E+00  0.30543E+03  0.15476E-06  0.54931E+01  0.29994E+03  0.10000E+01
    5.0140   1.7940  35.0440   0.5397   3.2614  0.25222E+03  0.25174E+03  0.48789E+00  0.25297E+03  0.54878E-07  0.47022E+01  0.24827E+03  0.10000E+01
    5.0140   1.6940  20.3843   0.1707   1.0638  0.70907E+04  0.70853E+04  0.54282E+01  0.83311E+04  0.23506E+01  0.25753E+03  0.80712E+04  0.10000E+01
    5.0140   1.6940  21.5871   0.1912   1.1915  0.55683E+04  0.55646E+04  0.36816E+01  0.64496E+04  0.83495E+00  0.18583E+03  0.62629E+04  0.10000E+01
    5.0140   1.6940  22.7292   0.2117   1.3192  0.44361E+04  0.44337E+04  0.24000E+01  0.50710E+04  0.30569E+00  0.13694E+03  0.49338E+04  0.10000E+01
    5.0140   1.6940  23.8194   0.2322   1.4469  0.35748E+04  0.35734E+04  0.14804E+01  0.40366E+04  0.11439E+00  0.10270E+03  0.39338E+04  0.10000E+01
    5.0140   1.6940  24.8645   0.2527   1.5747  0.29063E+04  0.29055E+04  0.83734E+00  0.32442E+04  0.43459E-01  0.78096E+02  0.31661E+04  0.10000E+01
    5.0140   1.6940  25.8700   0.2732   1.7024  0.23784E+04  0.23780E+04  0.40263E+00  0.26266E+04  0.16678E-01  0.60124E+02  0.25665E+04  0.10000E+01
    5.0140   1.6940  26.8404   0.2937   1.8301  0.19558E+04  0.19557E+04  0.12266E+00  0.21384E+04  0.64370E-02  0.46789E+02  0.20916E+04  0.10000E+01
    5.0140   1.6940  27.7793   0.3142   1.9578  0.16140E+04  0.16141E+04 -0.24247E-01  0.17484E+04  0.24904E-02  0.36804E+02  0.17116E+04  0.10000E+01
    5.0140   1.6940  28.6899   0.3347   2.0855  0.13355E+04  0.13356E+04 -0.70763E-01  0.14343E+04  0.96295E-03  0.29243E+02  0.14051E+04  0.10000E+01
    5.0140   1.6940  29.5747   0.3552   2.2132  0.11069E+04  0.11070E+04 -0.85160E-01  0.11794E+04  0.37129E-03  0.23402E+02  0.11560E+04  0.10000E+01
    5.0140   1.6940  30.4361   0.3757   2.3410  0.91870E+03  0.91878E+03 -0.77589E-01  0.97165E+03  0.14244E-03  0.18844E+02  0.95280E+03  0.10000E+01
    5.0140   1.6940  31.2760   0.3962   2.4687  0.76320E+03  0.76326E+03 -0.55552E-01  0.80163E+03  0.54284E-04  0.15263E+02  0.78637E+03  0.10000E+01
    5.0140   1.6940  32.0962   0.4167   2.5964  0.63455E+03  0.63458E+03 -0.24537E-01  0.66219E+03  0.20518E-04  0.12424E+02  0.64977E+03  0.10000E+01
    5.0140   1.6940  32.8980   0.4372   2.7241  0.52803E+03  0.52801E+03  0.21356E-01  0.54762E+03  0.76832E-05  0.10154E+02  0.53747E+03  0.10000E+01
    5.0140   1.6940  33.6828   0.4577   2.8518  0.43964E+03  0.43955E+03  0.92856E-01  0.45326E+03  0.28473E-05  0.83765E+01  0.44489E+03  0.10000E+01
    5.0140   1.6940  34.4518   0.4782   2.9796  0.36613E+03  0.36597E+03  0.16543E+00  0.37534E+03  0.10432E-05  0.69579E+01  0.36838E+03  0.10000E+01
    5.0140   1.6940  35.2060   0.4987   3.1073  0.30488E+03  0.30465E+03  0.23652E+00  0.31086E+03  0.37760E-06  0.58225E+01  0.30503E+03  0.10000E+01
    5.0140   1.6940  35.9465   0.5192   3.2350  0.25379E+03  0.25349E+03  0.30443E+00  0.25740E+03  0.13491E-06  0.49100E+01  0.25249E+03  0.10000E+01
    5.0140   1.6940  36.6739   0.5397   3.3627  0.21107E+03  0.21070E+03  0.36799E+00  0.21299E+03  0.47563E-07  0.41726E+01  0.20882E+03  0.10000E+01
    5.0140   1.5990  21.2893   0.1707   1.0942  0.60220E+04  0.60176E+04  0.43753E+01  0.71459E+04  0.22267E+01  0.23778E+03  0.69059E+04  0.10000E+01
    5.0140   1.5990  22.5469   0.1912   1.2256  0.47292E+04  0.47263E+04  0.29664E+01  0.55302E+04  0.78847E+00  0.17188E+03  0.53576E+04  0.10000E+01
    5.0140   1.5990  23.7413   0.2117   1.3570  0.37677E+04  0.37657E+04  0.19350E+01  0.43464E+04  0.28772E+00  0.12681E+03  0.42193E+04  0.10000E+01
    5.0140   1.5990  24.8815   0.2322   1.4883  0.30360E+04  0.30348E+04  0.11962E+01  0.34586E+04  0.10730E+00  0.95178E+02  0.33633E+04  0.10000E+01
    5.0140   1.5990  25.9748   0.2527   1.6197  0.24682E+04  0.24675E+04  0.68005E+00  0.27786E+04  0.40620E-01  0.72458E+02  0.27061E+04  0.10000E+01
    5.0140   1.5990  27.0268   0.2732   1.7511  0.20197E+04  0.20194E+04  0.33112E+00  0.22488E+04  0.15531E-01  0.55837E+02  0.21930E+04  0.10000E+01
